group,카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
스타굿즈,스타굿즈_여자 아이돌,브레이브 걸스 브브걸 여러 카드 등 팝니다.,"2,222",SALE,중고나라 회원,False,True,또다른악마,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107992734,1107992734
스타굿즈,스타굿즈_여자 아이돌,에프엑스 일렉트로닉쇼크 루나 포카,"5,000",SALE,중고나라 회원,False,True,에이재즈,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107991192,1107991192
스타굿즈,스타굿즈_여자 아이돌,"QWER 마운틴듀 마듀 포토카드 포카 쵸단,시연 판매","13,000",SOLD_OUT,본인인증 회원,False,False,ggky,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107990274,1107990274
스타굿즈,스타굿즈_여자 아이돌,프로미스나인 러브프롬 럭키카드 미개봉,"120,000",SALE,중고나라 회원,False,True,우동에불고기,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107989723,1107989723
스타굿즈,스타굿즈_여자 아이돌,에스파 리브엠 굿즈,"280,000",SALE,본인인증 회원,False,True,별명은 고민중,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107988851,1107988851
스타굿즈,스타굿즈_여자 아이돌,아이브 미니브 스쿨 플러시 체리 (택포),"50,000",SALE,본인인증 회원,False,True,Prmi1,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107985298,1107985298
스타굿즈,스타굿즈_여자 아이돌,"에스파 카리나,윈터 mp3 한정판 굿즈 팔아요","300,000",ESCROW,본인인증 회원,True,True,LightVolt,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107984308,1107984308
스타굿즈,스타굿즈_여자 아이돌,"러블리즈, 모모랜드, 우주소녀 등등 싸인 앨범, 싸인 폴라로이드, 싸인 굿즈 팝니다!!","2,222",SALE,중고나라 회원,False,True,9grade9,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107982852,1107982852
스타굿즈,스타굿즈_여자 아이돌,뉴진스 어텐션 앨범 외,"2,000",SALE,중고나라 회원,False,True,Leelud,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107980654,1107980654
스타굿즈,스타굿즈_여자 아이돌,이세페 이세돌 포카,"40,000",SALE,본인인증 회원,False,True,우로유로,2025-06-08,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107976180,1107976180
